time,x,y,vx,vy,speed
12.775000,10.268646,7.442260,-0.003816,0.149951,0.150000
12.825000,10.268455,7.449757,-0.003816,0.149951,0.150000
12.875000,10.268264,7.457255,-0.003816,0.149951,0.150000
12.925000,10.268074,7.464752,-0.003816,0.149951,0.150000
12.975000,10.267883,7.472250,-0.003816,0.149951,0.150000
13.025000,10.267692,7.479748,-0.003816,0.149951,0.150000
13.075000,10.267501,7.487245,-0.003816,0.149951,0.150000
13.125000,10.267311,7.494743,-0.003816,0.149951,0.150000
13.175000,10.267120,7.502240,-0.003816,0.149951,0.150000
13.225000,10.266929,7.509738,-0.003816,0.149951,0.150000
13.275000,10.266738,7.517235,-0.003816,0.149951,0.150000
13.325000,10.266547,7.524733,-0.003816,0.149951,0.150000
13.375000,10.266357,7.532231,-0.003816,0.149951,0.150000
13.425000,10.266166,7.539728,-0.003816,0.149951,0.150000
13.475000,10.265975,7.547226,-0.003816,0.149951,0.150000
13.525000,10.265784,7.554723,-0.003816,0.149951,0.150000
13.575000,10.265601,7.561943,-0.002968,0.116629,0.116667
13.625000,10.265516,7.565275,-0.000424,0.016661,0.016667
13.633333,10.265514,7.565345,0.000000,0.000000,0.000000
13.633333,10.552546,8.330290,0.000000,0.000000,0.000000
13.683333,10.552403,8.332786,-0.005705,0.099837,0.100000
13.733333,10.552011,8.339650,-0.008557,0.149756,0.150000
13.783333,10.551583,8.347138,-0.008557,0.149756,0.150000
13.833333,10.551156,8.354626,-0.008557,0.149756,0.150000
13.883333,10.550728,8.362113,-0.008557,0.149756,0.150000
13.933333,10.550300,8.369601,-0.008557,0.149756,0.150000
13.983333,10.549872,8.377089,-0.008557,0.149756,0.150000
14.033333,10.549444,8.384577,-0.008557,0.149756,0.150000
14.083333,10.549016,8.392064,-0.008557,0.149756,0.150000
14.133333,10.548588,8.399552,-0.008557,0.149756,0.150000
14.183333,10.548160,8.407040,-0.008557,0.149756,0.150000
14.233333,10.547733,8.414528,-0.008557,0.149756,0.150000
14.283333,10.547305,8.422016,-0.008557,0.149756,0.150000
14.333333,10.546877,8.429503,-0.008557,0.149756,0.150000
14.383333,10.546449,8.436991,-0.008557,0.149756,0.150000
14.433333,10.546021,8.444479,-0.008557,0.149756,0.150000
14.483333,10.545593,8.451967,-0.008557,0.149756,0.150000
14.533333,10.545165,8.459455,-0.008557,0.149756,0.150000
14.583333,10.544738,8.466942,-0.008557,0.149756,0.150000
14.633333,10.544310,8.474430,-0.008557,0.149756,0.150000
14.683333,10.543882,8.481918,-0.008557,0.149756,0.150000
14.733333,10.543454,8.489406,-0.008557,0.149756,0.150000
14.783333,10.543026,8.496893,-0.008557,0.149756,0.150000
14.833333,10.542598,8.504381,-0.008557,0.149756,0.150000
14.883333,10.542170,8.511869,-0.008557,0.149756,0.150000
14.933333,10.541742,8.519357,-0.008557,0.149756,0.150000
14.983333,10.541315,8.526845,-0.008557,0.149756,0.150000
15.033333,10.540887,8.534332,-0.008557,0.149756,0.150000
15.083333,10.540459,8.541820,-0.008557,0.149756,0.150000
15.133333,10.540031,8.549308,-0.008557,0.149756,0.150000
15.183333,10.539603,8.556796,-0.008557,0.149756,0.150000
15.233333,10.539175,8.564284,-0.008557,0.149756,0.150000
15.283333,10.538747,8.571771,-0.008557,0.149756,0.150000
15.333333,10.538320,8.579259,-0.008557,0.149756,0.150000
15.383333,10.537892,8.586747,-0.008557,0.149756,0.150000
15.433333,10.537464,8.594235,-0.008557,0.149756,0.150000
15.483333,10.537036,8.601722,-0.008557,0.149756,0.150000
15.533333,10.536608,8.609210,-0.008557,0.149756,0.150000
15.583333,10.536180,8.616698,-0.008557,0.149756,0.150000
15.633333,10.535752,8.624186,-0.008557,0.149756,0.150000
15.683333,10.535324,8.631674,-0.008557,0.149756,0.150000
15.733333,10.534897,8.639161,-0.008557,0.149756,0.150000
15.783333,10.534469,8.646649,-0.008557,0.149756,0.150000
15.833333,10.534041,8.654137,-0.008557,0.149756,0.150000
15.883333,10.533613,8.661625,-0.008557,0.149756,0.150000
15.933333,10.533185,8.669113,-0.008557,0.149756,0.150000
15.983333,10.532757,8.676600,-0.008557,0.149756,0.150000
16.033333,10.532329,8.684088,-0.008557,0.149756,0.150000
16.083333,10.531902,8.691576,-0.008557,0.149756,0.150000
16.133333,10.531474,8.699064,-0.008557,0.149756,0.150000
16.183333,10.531046,8.706551,-0.008557,0.149756,0.150000
16.233333,10.530618,8.714039,-0.008557,0.149756,0.150000
16.283333,10.530190,8.721527,-0.008557,0.149756,0.150000
16.333333,10.529762,8.729015,-0.008557,0.149756,0.150000
16.383333,10.529334,8.736503,-0.008557,0.149756,0.150000
16.433333,10.528906,8.743990,-0.008557,0.149756,0.150000
16.483333,10.528479,8.751478,-0.008557,0.149756,0.150000
16.533333,10.528051,8.758966,-0.008557,0.149756,0.150000
16.583333,10.527623,8.766454,-0.008557,0.149756,0.150000
16.633333,10.527195,8.773942,-0.008557,0.149756,0.150000
16.683333,10.526767,8.781429,-0.008557,0.149756,0.150000
16.733333,10.526339,8.788917,-0.008557,0.149756,0.150000
16.783333,10.525911,8.796405,-0.008557,0.149756,0.150000
16.833333,10.525484,8.803893,-0.008557,0.149756,0.150000
16.883333,10.525056,8.811380,-0.008557,0.149756,0.150000
16.933333,10.524628,8.818868,-0.008557,0.149756,0.150000
16.983333,10.524216,8.826079,-0.006656,0.116477,0.116667
17.033333,10.524026,8.829407,-0.000951,0.016640,0.016667
17.041667,10.524022,8.829476,0.000000,0.000000,0.000000
17.041667,10.495497,9.328662,0.000000,0.000000,0.000000
17.091667,10.494686,9.331026,-0.032442,0.094591,0.100000
17.141667,10.492456,9.337530,-0.048663,0.141887,0.150000
17.191667,10.490023,9.344624,-0.048663,0.141887,0.150000
17.241667,10.487589,9.351718,-0.048663,0.141887,0.150000
17.291667,10.485156,9.358813,-0.048663,0.141887,0.150000
17.341667,10.482723,9.365907,-0.048663,0.141887,0.150000
17.391667,10.480290,9.373001,-0.048663,0.141887,0.150000
17.441667,10.477857,9.380096,-0.048663,0.141887,0.150000
17.491667,10.475424,9.387190,-0.048663,0.141887,0.150000
17.541667,10.472991,9.394284,-0.048663,0.141887,0.150000
17.591667,10.470557,9.401379,-0.048663,0.141887,0.150000
17.641667,10.468124,9.408473,-0.048663,0.141887,0.150000
17.691667,10.465691,9.415567,-0.048663,0.141887,0.150000
17.741667,10.463258,9.422662,-0.048663,0.141887,0.150000
17.791667,10.460825,9.429756,-0.048663,0.141887,0.150000
17.841667,10.458392,9.436850,-0.048663,0.141887,0.150000
17.891667,10.455959,9.443945,-0.048663,0.141887,0.150000
17.941667,10.453525,9.451039,-0.048663,0.141887,0.150000
17.991667,10.451092,9.458134,-0.048663,0.141887,0.150000
18.041667,10.448659,9.465228,-0.048663,0.141887,0.150000
18.091667,10.446226,9.472322,-0.048663,0.141887,0.150000
18.141667,10.443793,9.479417,-0.048663,0.141887,0.150000
18.191667,10.441360,9.486511,-0.048663,0.141887,0.150000
18.241667,10.438927,9.493605,-0.048663,0.141887,0.150000
18.291667,10.436493,9.500700,-0.048663,0.141887,0.150000
18.341667,10.434060,9.507794,-0.048663,0.141887,0.150000
18.391667,10.431627,9.514888,-0.048663,0.141887,0.150000
18.441667,10.429194,9.521983,-0.048663,0.141887,0.150000
18.491667,10.426761,9.529077,-0.048663,0.141887,0.150000
18.541667,10.424328,9.536171,-0.048663,0.141887,0.150000
18.591667,10.421895,9.543266,-0.048663,0.141887,0.150000
18.641667,10.419462,9.550360,-0.048663,0.141887,0.150000
18.691667,10.417028,9.557454,-0.048663,0.141887,0.150000
18.741667,10.414595,9.564549,-0.048663,0.141887,0.150000
18.791667,10.412162,9.571643,-0.048663,0.141887,0.150000
18.841667,10.409729,9.578737,-0.048663,0.141887,0.150000
18.891667,10.407296,9.585832,-0.048663,0.141887,0.150000
